Mon Apr 11 16:44:17 2016    postProcess.postProcess_profile.txt

         1780 function calls (1735 primitive calls) in 0.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 <string>:1(<module>)
        1    0.000    0.000    0.005    0.005 postProcess.py:39(main)
        1    0.000    0.000    0.005    0.005 optparse.py:1368(parse_args)
        1    0.000    0.000    0.005    0.005 optparse.py:1420(_process_args)
        1    0.000    0.000    0.005    0.005 optparse.py:1517(_process_short_opts)
        1    0.000    0.000    0.005    0.005 optparse.py:779(process)
        1    0.000    0.000    0.005    0.005 optparse.py:791(take_action)
        1    0.000    0.000    0.005    0.005 optparse.py:1661(print_help)
        1    0.004    0.004    0.004    0.004 {method 'write' of 'file' objects}
        1    0.000    0.000    0.001    0.001 optparse.py:1642(format_help)
        1    0.000    0.000    0.001    0.001 optparse.py:1622(format_option_help)
        1    0.000    0.000    0.001    0.001 optparse.py:1068(format_option_help)
        4    0.000    0.000    0.001    0.000 optparse.py:290(format_option)
        4    0.000    0.000    0.001    0.000 textwrap.py:343(wrap)
        4    0.000    0.000    0.001    0.000 textwrap.py:115(__init__)
        8    0.000    0.000    0.001    0.000 re.py:192(compile)
        8    0.000    0.000    0.001    0.000 re.py:230(_compile)
        2    0.000    0.000    0.001    0.000 sre_compile.py:567(compile)
        2    0.000    0.000    0.000    0.000 sre_parse.py:706(parse)
      7/2    0.000    0.000    0.000    0.000 sre_parse.py:317(_parse_sub)
      9/2    0.000    0.000    0.000    0.000 sre_parse.py:395(_parse)
        2    0.000    0.000    0.000    0.000 sre_compile.py:552(_code)
     16/2    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.000    0.000 optparse.py:1191(__init__)
        4    0.000    0.000    0.000    0.000 gettext.py:568(gettext)
        4    0.000    0.000    0.000    0.000 textwrap.py:316(wrap)
        4    0.000    0.000    0.000    0.000 gettext.py:530(dgettext)
        4    0.000    0.000    0.000    0.000 gettext.py:464(translation)
        4    0.000    0.000    0.000    0.000 gettext.py:424(find)
        4    0.000    0.000    0.000    0.000 optparse.py:1008(add_option)
        9    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 optparse.py:1258(_populate_option_list)
        1    0.000    0.000    0.000    0.000 optparse.py:1248(_add_help_option)
        4    0.000    0.000    0.000    0.000 optparse.py:561(__init__)
        1    0.000    0.000    0.000    0.000 optparse.py:1277(set_usage)
       70    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
        4    0.000    0.000    0.000    0.000 textwrap.py:243(_wrap_chunks)
       51    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
        4    0.000    0.000    0.000    0.000 textwrap.py:163(_split)
        9    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
        4    0.000    0.000    0.000    0.000 gettext.py:132(_expand_lang)
        2    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
      310    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       67    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
        1    0.000    0.000    0.000    0.000 optparse.py:1586(get_usage)
